#window_start	syn_rate_alternate_model	syn_rate_null_model	nonsynonymous_rate_alternate_model	nonsynonymous_rate_null_model	log_likelihood_alternate_model	log_likelihood_null_model	n_local_params_alternate_model	n_local_params_null_model	LRT	p_value	p_adj_bonf	classification
0	0.6342598868830421	1	1.781202627518249	1.777471316519607	-465.566857361267	-469.2871583548097	2	1	7.440601987085302	0.0063768556784425	1.0	normal
1	0.5669538694419699	1	1.488252095811607	1.487412172867447	-410.7611774948857	-415.9042483559937	2	1	10.28614172221603	0.0013403305903496	0.2332175227208304	normal
2	0.4672536714859002	1	1.836620124176421	1.833414173058686	-436.8442103213574	-445.4116270024432	2	1	17.13483336217155	3.481784971237634e-05	0.006058305849953483	SCE
3	0.5192238945177693	1	1.705675080272776	1.703272019776433	-334.7543507041841	-339.5662838200893	2	1	9.62386623181044	0.0019206497973714	0.3341930647426236	normal
4	0.5196459664739556	1	1.706099334210839	1.703156968158315	-334.7543442579121	-339.5662847624213	2	1	9.62388100901842	0.0019206343437634	0.3341903758148316	normal
5	0.4744832808501308	1	1.900030854482583	1.898206093100926	-425.7155966331806	-432.4462292233914	2	1	13.46126518042149	0.0002435394749625	0.042375868643475	SCE
6	0.6068999153894972	1	2.402207103514859	2.397895912987114	-604.0679425682097	-608.1015162172628	2	1	8.067147298106192	0.0045075025546931	0.7843054445165993	normal
7	0.587316377899118	1	2.653704215088341	2.645647512173913	-588.4768781795364	-592.816497505005	2	1	8.67923865093735	0.0032185541409313	0.5600284205220462	normal
8	0.5088211564004975	1	2.884342637691892	2.868071709849314	-550.2949849650674	-556.1105782896894	2	1	11.631186649244	0.0006485516620143	0.11284798919048819	normal
9	0.5763509084480837	1	3.062139764552639	3.047143272340596	-669.3244691353166	-674.088875841172	2	1	9.528813411710871	0.0020227085540113	0.35195128839796624	normal
10	0.648137851266608	1	3.400618620752113	3.389988996664448	-759.4305473744917	-762.95816173391	2	1	7.055228718836588	0.0079034217988763	1.0	normal
11	0.6877304751077744	1	3.064990778505251	3.054739570564603	-747.0765697095641	-750.0587252764391	2	1	5.964311133750016	0.0145983028031743	1.0	normal
12	0.6874926672261684	1	3.066386278162558	3.054682341706029	-747.0765979821695	-750.0587255395532	2	1	5.964255114767411	0.0145987666114918	1.0	normal
13	0.7042533326116518	1	2.997705243947636	2.993010476793317	-869.3574944481445	-872.726709554576	2	1	6.738430212863022	0.0094357618596374	1.0	normal
14	0.7204782793797505	1	2.785929621572595	2.778387012576589	-859.4479112325859	-862.6079784497158	2	1	6.320134434259899	0.0119374578443843	1.0	normal
15	0.6355950660176317	1	2.344297200010097	2.336328478847336	-806.537368382481	-812.8218346406276	2	1	12.56893251629322	0.0003922125481181	0.0682449833725494	normal
16	0.6471184674851068	1	2.216811499279546	2.210974713908228	-819.3426958540315	-825.1139714937067	2	1	11.54255127935039	0.0006802123189179	0.1183569434917146	normal
17	0.7318671775678367	1	1.988944191617031	1.986122228591431	-822.4493902805352	-825.2196470545339	2	1	5.540513547997307	0.0185811292097485	1.0	normal
18	0.7853301331928583	1	1.754679207318413	1.751849121565899	-834.2660766937132	-836.1047505595448	2	1	3.677347731663076	0.0551565235586707	1.0	normal
19	0.790855821314686	1	1.491264272765391	1.48841208367807	-771.9427786641788	-773.6098316760863	2	1	3.334106023814911	0.0678572730393737	1.0	normal
20	0.7967367593839956	1	1.540183431478599	1.536684125596663	-780.9086198625771	-782.3562841241344	2	1	2.895328523114586	0.0888366636438944	1.0	normal
21	0.792560812582617	1	1.434075086694848	1.430342214019348	-847.3168708434927	-849.0746435481296	2	1	3.515545409273955	0.0607956434666683	1.0	normal
22	0.9247758955616552	1	1.327201247542941	1.326450036456916	-861.2961465925365	-861.5029506075623	2	1	0.4136080300515914	0.5201438693371094	1.0	normal
23	1.111052818203661	1	1.25024569311763	1.251323824471176	-901.6410459954604	-902.0723074299916	2	1	0.8625228690623317	0.3530336464577517	1.0	normal
24	1.235666516287855	1	1.165844825644511	1.167438787255412	-852.7181446165354	-854.2804273220315	2	1	3.124565410992318	0.0771204325818526	1.0	normal
25	1.30844267380168	1	1.109511334827094	1.112062826247603	-771.1579794530018	-773.579935575254	2	1	4.843912244504509	0.0277438851923766	1.0	normal
26	1.201121291076584	1	1.142617448578074	1.144509747508454	-797.6034245666265	-798.7793171968009	2	1	2.351785260348834	0.1251396218972624	1.0	normal
27	1.176621229643929	1	1.011305947743493	1.012209302925121	-724.4664690605774	-725.2964075004959	2	1	1.659876879836929	0.1976199481797123	1.0	normal
28	1.175841730027072	1	1.007892737436129	1.009016400172533	-731.9981900570094	-732.848756605927	2	1	1.701133097835054	0.1921398593462009	1.0	normal
29	1.198441545615686	1	0.8319623208633982	0.8326057323836145	-602.4722010148064	-603.4178140919338	2	1	1.891226154254809	0.1690636884978884	1.0	normal
30	1.298467232586516	1	0.917574866843472	0.9186434866329533	-610.4300265667787	-612.20082098467	2	1	3.541588835782704	0.059848107008501	1.0	normal
31	1.371717134728512	1	0.8193873239064375	0.8207277967307599	-582.5025238652047	-584.9838926065934	2	1	4.962737482777356	0.0258991762328337	1.0	normal
32	0.9784238836457134	1	0.8796067046900933	0.8798704243332494	-530.176771757079	-530.186090317894	2	1	0.0186371216300358	0.891411919436905	1.0	normal
33	0.930517997339567	1	0.913203328844941	0.9127433552733776	-556.5804698413925	-556.6981862215125	2	1	0.2354327602399735	0.627524453899218	1.0	normal
34	0.9307457036642656	1	0.9131120982659404	0.9127562230926414	-556.5804689837042	-556.6981861735193	2	1	0.2354343796300782	0.627523270302907	1.0	normal
35	1.038451409096495	1	0.8277571733810248	0.828006178792079	-528.3262614729828	-528.3561028821566	2	1	0.05968281834771	0.8069979630634576	1.0	normal
36	1.258737746284086	1	0.854327913047213	0.8558826847536266	-570.9111617404092	-572.2072892628236	2	1	2.592255044828789	0.1073873452056168	1.0	normal
37	1.373655856752409	1	0.9481667247969636	0.9501942730277242	-613.5377050953967	-616.2009550395954	2	1	5.326499888397393	0.0210035242391428	1.0	normal
38	1.373439440713631	1	0.9480547403586032	0.9501827834485836	-613.5377057269479	-616.2009552373505	2	1	5.326499020805159	0.0210035346952522	1.0	normal
39	1.506692500189275	1	0.8494283817207401	0.8518147432847697	-603.837051846559	-608.3568150422113	2	1	9.039526391304662	0.0026420407599436	0.45971509223018636	normal
40	1.222067095554276	1	0.8093051747152844	0.8108387244182174	-557.8924391554087	-558.8717461219026	2	1	1.958613932987646	0.161661633501158	1.0	normal
41	1.61633089323166	1	0.8476064899949773	0.851014964643888	-608.647514752633	-614.4849733582056	2	1	11.67491721114516	0.000633483595296	0.110226145581504	normal
42	1.80419929164081	1	0.742905638474837	0.7460674058193215	-577.6702805440648	-586.1252123783943	2	1	16.909863668659	3.919736989399514e-05	0.006820342361555154	SAE
43	1.80383013546857	1	0.7431730672664374	0.7460480677729003	-577.6702770688887	-586.12521198116	2	1	16.90986982454251	3.919724277823278e-05	0.006820320243412503	SAE
44	1.583303831079999	1	0.7714151078005467	0.7732719094136322	-591.1739111857984	-596.907394665262	2	1	11.46696695892729	0.0007084420821874	0.1232689223006076	normal
45	1.322645488095398	1	0.8105083669832406	0.8119845177038649	-555.0727776725128	-556.8904149090552	2	1	3.635274473084792	0.0565672764927335	1.0	normal
46	1.498482273127893	1	0.7799521586976365	0.7842495370076756	-563.8600456344801	-567.6624704448669	2	1	7.604849620773621	0.0058211518769032	1.0	normal
47	1.694625184436639	1	0.9157223079074182	0.9208077210471998	-719.8917506784843	-727.6551538025226	2	1	15.52680624807658	8.134352822231072e-05	0.014153773910682066	SAE
48	1.521876462879411	1	0.975185059966084	0.9797862540044548	-707.9816499514418	-712.6856703179994	2	1	9.408040733115286	0.0021603594870373	0.3759025507444902	normal
49	1.352725838293884	1	0.9788135648654896	0.9819066733890788	-680.9897446102933	-683.4211572756255	2	1	4.862825330664464	0.027441362699809	1.0	normal
50	1.209628233861648	1	0.9202564168645344	0.9225823069340032	-565.2840400933236	-566.1048540712868	2	1	1.641627955926424	0.2001022524398068	1.0	normal
51	1.226110764666601	1	1.302177096103377	1.308901323431062	-638.367527461297	-639.2598697280397	2	1	1.784684533485461	0.1815751433335387	1.0	normal
52	1.084109678756283	1	1.293405493313635	1.296562564844381	-713.6510305122957	-713.814983725596	2	1	0.3279064266005207	0.5668944682009877	1.0	normal
53	1.192081978982288	1	1.377560751144037	1.385724089658187	-725.9565707836562	-726.6718066893876	2	1	1.430471811462894	0.2316874541088277	1.0	normal
54	1.203447344267441	1	1.260153660634284	1.26652198722948	-725.5122553231334	-726.339051474903	2	1	1.653592303539199	0.1984707038315516	1.0	normal
55	0.9858401607680924	1	1.22549343520718	1.225068266698531	-675.8907141829743	-675.8955723705174	2	1	0.0097163750861	0.9214783606536612	1.0	normal
56	0.7096470721709376	1	1.076554598093969	1.064358866424274	-584.8607188648854	-587.4840580701178	2	1	5.246678410464938	0.0219887065933971	1.0	normal
57	0.6983024345380682	1	1.02323939870597	1.011642093120577	-608.3076791699638	-611.5270672525976	2	1	6.438776165267655	0.0111655544394582	1.0	normal
58	0.8286410102267158	1	1.131662259120167	1.124801824971067	-661.0843220074138	-661.94783226045	2	1	1.727020506072449	0.1887918542050872	1.0	normal
59	0.8716045138402343	1	1.116304587790183	1.111813246169159	-746.081207797735	-746.5855178037823	2	1	1.008620012094525	0.3152336685645402	1.0	normal
60	0.7484383925981634	1	0.928224668865676	0.9239138801483208	-667.9187300168521	-670.0784865554078	2	1	4.319513077111424	0.0376777021919797	1.0	normal
61	0.7243041425102167	1	0.8684947769687495	0.8647080507415195	-654.5024730287104	-657.101720085599	2	1	5.198494113777315	0.0226064644284664	1.0	normal
